930 837
10 369
78 755
50 956
203 161
6 309
320 932
353 935
239 275
31 411
162 685
50 813
9 560
64 803
59 275
930 478
947 678
72 312
830 840
250 790
494 676
44 908
27 938
9 257
6 200
29 367
186 86
54 229
439 546
407 103
24 398
53 523
216 542
346 814
660 882
162 171
930 253
921 172
82 476
16 443
250 388
294 540
70 212
26 580
79 601
830 516
71 67
320 348
26 672
720 124
69 270
774 442
31 316
90 44
3 712
4 967
844 101
202 999
4 510
12 865
16 299
844 79
219 251
27 881
9 884
4 372
125 238
20 55
353 192
118 255
215 59
201 744
844 872
125 436
439 583
407 874
665 39
82 32
9 499
774 487
31 432
54 467
353 371
8 612
22 139
66 316
33 663
99 362
17 391
693 406
99 659
206 224
456 185
53 963
486 390
239 554
219 553
233 89
27 446
4 396
1 32
160 485
494 284
353 283
79 104
8 797
660 888
160 922
33 651
99 872
215 383
320 326
320 719
17 52
830 647
18 681
125 212
75 969
20 88
536 500
330 561
78 136
179 435
1 977
31 65
237 471
183 540
562 873
665 964
201 576
22 682
297 960
306 679
90 509
202 698
665 145
51 376
830 638
330 849
75 960
665 926
160 797
486 907
64 15
1 730
439 320
44 148
27 256
720 996
294 240
12 539
202 3
201 509
203 746
9 864
23 450
53 572
14 713
407 875
33 323
346 379
75 399
131 420
125 897
947 869
24 196
250 507
219 838
82 699
463 225
36 912
16 360
297 633
51 924
41 300
346 702
80 92
34 76
155 207
930 102
203 21
131 708
876 61
297 313
353 373
82 956
486 268
14 299
78 601
72 611
876 484
71 164
219 552
31 213
41 316
16 837
120 966
143 791
407 924
186 488
1 625
233 877
203 544
78 95
215 364
156 810
29 18
250 149
188 654
203 235
23 406
69 340
947 171
614 658
156 92
155 329
264 832
346 285
433 592
56 451
34 561
237 58
153 747
4 629
930 566
463 760
79 535
665 478
26 742
496 118
486 963
17 661
111 537
188 909
496 266
99 632
156 589
36 811
72 999
456 887
494 912
4 163
330 915
407 444
268 655
720 64
41 234
947 600
439 861
227 27
844 994
216 352
665 366
90 500
203 910
24 595
346 316
16 467
320 740
210 242
221 68
26 503
51 656
156 339
64 61
22 986
283 703
203 525
23 859
131 491
54 106
1 408
4 436
264 643
179 211
44 173
830 645
4 826
536 783
58 622
210 376
237 924
494 96
125 863
75 117
439 893
921 972
33 592
486 958
439 697
433 241
844 755
50 708
221 828
69 695
90 307
3 856
6 274
162 564
976 304
72 864
297 802
665 969
947 229
456 167
774 780
71 170
36 965
162 731
131 716
66 787
51 116
496 413
227 799
774 125
947 968
18 150
774 4
233 44
233 582
210 805
72 177
774 239
99 590
1 549
6 48
19 622
56 420
9 736
186 445
665 566
693 138
22 278
10 847
353 546
29 397
494 47
237 93
27 136
183 495
80 12
830 139
131 380
80 572
7 639
17 501
17 721
215 986
201 742
27 914
31 309
264 679
675 953
7 132
162 873
3 410
660 4
23 404
330 363
24 32
215 340
31 951
346 878
237 118
10 932
188 918
82 437
80 587
36 96
330 213
90 321
33 305
250 666
267 611
125 22
7 989
519 146
179 311
221 359
19 761
294 481
250 485
346 762
439 710
463 794
162 75
29 911
99 686
111 252
156 824
876 825
320 67
267 288
14 793
519 326
44 580
72 537
774 723
306 498
1 956
